NAME,DESCRIPTION
C9560,"Tantalum capacitor on 820-2850 logic board that often dies and causes intermittent power to framebuffer PP1V8R1V55_S0GPU_ISNS and PP1V8R1V55_S0GPU_ISNS_R rail, causing GPU kernel panics. Replace with non-tantalum if machine is having random black screen or kernel panics"
C7771,"Tantalum capacitor on 820-2330 and 820-2532 logic boards that often dies and causes PP1V05_S5_MCP or PP1V05_S5 to be 0.331v instead of 1.05v. If heating this cap restores voltage to this rail, replace"
C7050,"Capacitor between current sense lines on ISL6259 chip for battery current sensing, you should measure around 2.202 ohms across this. Often when the resistance across this capacitor is higher it is because one of the current sense resistors going to the ISL6259 chip has failed. When current sensing resistors between the shunt resistor and the ISL6259 power IC have failed the ISL6259 cannot gauge how much current is being sent to or drawn from the battery, which will cause the ISL6259 to stop drawing/sending power to the battery as a safety precaution. Symptoms are low voltage on PPBUS_G3H, quarter fan spin, boot looping, or battery not charging."
C7020,"Capacitor between current sense lines on ISL6259 chip for charger current sensing, you should measure around 20.02 ohms across this. Often when the resistance across this capacitor is higher it is because one of the current sense resistors going to the ISL6259 chip has failed. When current sensing resistors between the shunt resistor and the ISL6259 power IC have failed the ISL6259 cannot gauge how much current is being drawn from the charger, which will cause the ISL6259 to stop drawing as much power from the charger as a safety precaution. Symptoms are low voltage on PPBUS_G3H, quarter fan spin, boot looping, or battery not charging."
C7125,Capacitor between CHGR_BOOT and CHGR_PHASE important for bootstrapping creation of PPBUS_G3H on 2013-2015 macbook pros
C1910,
C6990,Capacitor to ground on input to PP3V42_G3H power supply. PP3V42_G3H power supply turns 18.5v from charger or 8.5v-12.5v PPBUS_G3H from the battery into PP3V42_G3H. This capacitor can short to ground and keep PP3V42_G3H from turning on which would keep the machine from having a light on the magsafe charger
C1802,"Capacitor to ground on PCH_SRTCRST_L on machines from 2009-2012, PCH_SRTCRST_L needs to be high for PCH to not be in RTC reset mode, this capacitor can become corroded or leaky and result in this signal being pulled low. "
C7025,
C7040,
C7023,
C1950,"Capacitor between PP3V42_G3H & ground on pin 8 of U1950 on 2013-2015 Macbook Pros & Airs that often corrodes. When corroded, pin 8 on U1950 will be damaged, which will prevent machine from booting and cause PM_SLP_S4_L to pulse. "
C1031,
C3100,
C6905,"Capacitor to ground on charger input, if this shorts to ground the charger will not put out any power. "
C7030,
C7090,
C5250,
C7111,
C3208,
C9015,
C7140,
C7505,
C7704,
C5710,
C6999,
C7630,
C9704,
C7094,
C7425,
C7500,
C3108,
C3200,
C4810,
C8320,
C7120,
C6991,
C7005,
C7105,
C5002,
C7711,
C7011,
C9020,
C9010,
C7095,
C7121,
C3710,
C3105,
C7150,
C7799,
C6405,
C7130,
C7797,
C9796,
C6994,
C5120,
C6912,
C5125,
C5101,
C3204,
C7021,
C7524,
C6100,
C9782,
C1303,
C7273,
C7782,
C3206,
C7000,
C8317,
C7400,
C6952,
C3104,
C6906,
C7710,
C9797,
C6213,
C7116,
C1803,"Capacitor to ground on RTC_RESET_L on machines from 2009-2012, RTC_RESET_L needs to be high for system to not be in RTC reset mode, this capacitor can become corroded or leaky and result in this signal being pulled low. "
C5021,
C3205,
C3106,
C0890,
C7796,
C9799,
C7092,
C5010,
C5001,
C8352,
C7098,
C7185,
C7564,
C4510,
C7102,
C7372,
C7075,
C9081,
C9009,
C1300,
C3101,
C8300,
C7714,
C5020,
C6908,
C9000,
C5025,
C1204,
C8020,
C5008,
C7290,
C7600,
C7001,
C7012,
C9532,
C6406,
C7653,
C6907,
C7214,
C9711,
C5511,
C4696,
C7272,
C8000,
C7840,
C7540,
C7503,
C7582,
C7260,
C7601,
C7651,
C8440,
C5220,
C7523,
C7022,
C7122,
C7800,
C7801,
C7205,
C9002,
C5800,
C3080,
C8328,
C7620,
C8186,
C4836,
C7100,
C7401,
C5126,
C0891,
C6950,
C7131,
C7060,
C7220,
C1902,
C3530,
C8080,
C7323,
C7080,
C7101,
C7291,
C7701,
C9650,
C6996,
C4690,
C7712,
C7770,
C7026,
C6995,
C7324,
C7340,
C7981,
C6412,
C5007,
C8473,
C7450,
C5260,
C8441,
C8504,
C7717,
C7513,
C9710,
C6403,
C9501,
C7660,
C8930,
C6951,
C4920,
C7607,
C7202,
C0892,
C9401,
C1683,
C4511,
C7583,
C7700,
C7830,
C3286,
C7624,
C9712,
C7602,
C1212,
C7768,
C7900,
C7615,
C6910,
C3201,
C7292,
C8956,
C7609,
C7077,
C9080,
C8460,
C7668,
C5254,
C9011,
C7091,
C7056,
C9480,
C7002,
C7203,
C4691,
C3550,
C7031,
C7619,
C4834,
C3890,
C1924,
C7841,
C2951,
C5304,
C7648,
C7649,
C7035,
C1680,
C8340,
C4517,
C8326,
C1214,
C7592,
C7541,
C3740,
C3280,
C7650,
C8081,
C6101,
C7511,
C7689,
C7078,
C6960,
C9012,
C7755,
C6900,
C7200,
C9487,
C5011,
C5017,
C7553,
C6203,
C4902,
C5314,
C8942,
C3510,
C7252,
C7434,
C3422,
C4850,
C3285,
C8324,
C7526,
C7901,
C1001,
C7555,
C8030,
C2952,
C7713,
C6992,
C7518,
C8520,
C6603,
C7622,
C3717,
C8359,
C7374,
C1250,
C3121,
C3120,
C1930,
C7747,
C7016,
C4013,
C7742,
C1202,
C8503,
C4617,
C3897,
C5512,
C4695,
C7251,
C7561,
C7314,
C3430,
C7085,
C9001,
C2231,
C1264,
C4921,
C7008,
C1681,
C1682,
C7126,
C5441,
C7910,
C7317,
C7241,
C8329,
C7132,
C7280,
C7510,
C4520,
C8327,
C7516,
C8360,
C6217,
C7376,
C7136,
C5701,
C5504,
C6953,
C4916,
C8353,
C8350,
C7588,
C5489,
C7536,
C1531,
C7870,
C4620,
C7115,
C8400,
C9719,
C8192,
C7042,
C3000,
C7414,
C1227,
C1260,
C2975,
C7905,
C5852,
C8469,
C7462,
C8412,
C5100,
C9580,
C1210,
C7284,
C1208,
C7690,
C7772,
C6601,
C8961,
C8962,
C8963,
C7300,
C7099,
C8301,
C6400,
C7860,
C9510,
C7155,
C4605,
C1301,
C4835,
C5706,
C7103,
C3531,
C5411,
C9500,
C7552,
C4901,
C7942,
C7623,
C4533,
C1020,
C7319,
C7293,
C7740,
C4905,
C5513,
C7135,
C7778,
C7261,
C5725,
C4906,
C3211,
C3220,
C7036,
C7741,
C4518,
C4516,
C4515,
C8321,
C8325,
C7525,
C6998,
C8005,
C8187,
C9323,
C8319,
C7045,
C7560,
C7006,
C7210,
C9715,
C8070,
C7760,
C7145,
C7341,
C8010,
C7570,
C7514,
C7715,
C7581,
C5026,
C7375,
C6482,
C6500,
C5413,
C5422,
C7190,
C7333,
C7029,
C7431,
C8529,
C8130,
C7430,
C6404,
C5750,
C7805,
C7313,
C5426,
C9504,
C7903,
C8500,
C1297,
C3508,
C4720,
C7051,
C8401,
C8467,
C5451,
C8410,
C1266,
C1206,
C9582,
C6411,
C5327,
C5223,
C0292,
C7750,
C7117,
C8134,
C8170,
C7576,
C7087,
C3521,
C7015,
C9520,
C5379,
C7240,
C8175,
C7762,
C8928,
C8923,
C7621,
C4800,
C7550,
C7271,
C3880,
C9714,
C8312,
C8311,
C6880,
C7137,
C7911,
C8060,
C7433,
C1280,
C7831,
C7270,
C9713,
C7371,
C5625,
C7331,
C4903,
C4908,
C4513,
C4512,
C7584,
C8322,
C8323,
C5552,
C3891,
C7310,
C5003,
C8315,
C8358,
C7766,
C7184,
C6212,
C5580,
C7010,
C9327,
C1905,
C7616,
C7055,
C7517,
