capacitors,Count
C9560,323
C7771,261
C7523,10
C1910,76
C3105,22
C7372,14
C5002,26
C7214,11
C8503,5
C8504,8
C0890,16
C0891,9
C0292,3
C8352,15
C4615,2
C4616,2
C4617,5
C9009,13
C7717,8
C7796,16
C7797,20
C7799,21
C3897,5
C6960,6
C6950,9
C7040,47
C7030,41
C7513,8
C4240,1
C7604,1
C9796,20
C6994,20
C7050,190
C7772,4
C6908,12
C7020,147
C7021,19
C7022,10
C6601,4
C5710,35
C7710,17
C9011,7
C9012,6
C9015,37
C5120,20
C7194,1
C7195,1
C7198,2
C7199,1
C8961,4
C8962,4
C8963,4
C8964,2
C7131,9
C7300,4
C2810,2
C2811,1
C9797,17
C9799,16
C7098,15
C7099,4
C9710,8
C9711,11
C5511,11
C5512,5
C7750,3
C8301,4
C7185,15
C7121,24
C7122,10
C4695,5
C1706,2
C7251,5
C7524,19
C6403,8
C6405,21
C6400,4
C7860,4
C9501,8
C7090,40
C7091,7
C7092,16
C7150,22
C7120,27
C7561,5
C7563,2
C7025,59
C7990,1
C6999,34
C7800,10
C7056,7
C7057,1
C7011,25
C7000,18
C7039,1
C7060,9
C7660,8
C9510,4
C7117,3
C7155,4
C4605,4
C9480,7
C9481,2
C9590,2
C6100,19
C9020,25
C9782,19
C7220,9
C7801,10
C7755,6
C8134,3
C8170,3
C5577,1
C1301,4
C7576,3
C6213,17
C7314,5
C9010,25
C6991,27
C1950,44
C4835,4
C7417,2
C9410,2
C6912,20
C3430,5
C7505,36
C5706,4
C7094,32
C6905,43
C7085,5
C7087,3
C1031,44
C6521,1
C1902,9
C8930,8
C7737,1
C7738,1
C7002,7
C1300,13
C1303,19
C6951,8
C7205,10
C2531,1
C2535,1
C1768,2
C7103,4
C2901,1
C3101,13
C2300,1
C7005,27
C7203,7
C4696,11
C4601,2
C4691,7
C6221,1
C9001,5
C9002,10
C9704,33
C3522,1
C3521,3
C3520,1
C3550,7
C3551,2
C3530,9
C3531,4
C9000,12
C7031,7
C7015,3
C2231,5
C4920,8
C5025,12
C3990,1
C7272,11
C7273,19
C5411,4
C8080,9
C7320,1
C6990,75
C1204,12
C7812,2
C9520,3
C7711,26
C5379,3
C6900,6
C7240,3
C1802,61
C7607,8
C8317,18
C7202,8
C7323,9
C7619,7
C0892,8
C1264,5
C6919,1
C8175,3
C4834,7
C8020,12
C9500,4
C5409,2
C4921,5
C5385,1
C7762,3
C7763,2
C8928,3
C8923,3
C9820,2
C7200,6
C3890,7
C7621,3
C9487,6
C5010,16
C5011,6
C5125,20
C4800,3
C8000,11
C7564,15
C1102,2
C6612,2
C5017,6
C5008,12
C4810,28
C7116,17
C1924,7
C1803,17
C7550,3
C7571,2
C7552,4
C7553,6
C3577,1
C7271,3
C2304,2
C6201,2
C6203,6
C4902,6
C7841,7
C4901,4
C7290,12
C5800,10
C3110,1
C3210,2
C7080,9
C7008,5
C3080,10
C7600,12
C3880,3
C2951,7
C1060,2
C2600,1
C2660,1
C7943,1
C2605,1
C1037,1
C7400,18
C7101,9
C5001,16
C5818,1
C7942,4
C3710,24
C3702,2
C9401,8
C3895,2
C9714,3
C7112,1
C5304,7
C5314,6
C7648,7
C7649,7
C8312,3
C8309,2
C8311,3
C7360,2
C7350,2
C7840,11
C7035,7
C7798,1
C1680,7
C1681,5
C1682,5
C1683,8
C7623,4
C7640,1
C4510,15
C4511,8
C4534,2
C4533,4
C7126,5
C6880,3
C8931,2
C8943,1
C8942,6
C5526,1
C5441,5
C7137,3
C3510,6
C5480,1
C1096,2
C7540,11
C1020,4
C7911,3
C7910,5
C7319,4
C5439,1
C5329,2
C1845,2
C8060,3
C7291,9
C7293,4
C7252,6
C7720,2
C8760,1
C9363,1
C8474,1
C8456,1
C7630,34
C7095,25
C7583,8
C7432,1
C7433,3
C7434,6
C7317,5
C7318,2
C7700,8
C7740,4
C1280,3
C1217,2
C7701,9
C8320,28
C4905,4
C6222,1
C7001,12
C7503,11
C7241,5
C7282,2
C7281,2
C9802,2
C9723,2
C3888,2
C8354,2
C7522,2
C7831,3
C5513,4
C2243,1
C2443,1
C2305,1
C7130,21
C7135,4
C9050,1
C8329,5
C7132,5
C7270,3
C8328,10
C7778,4
C9713,3
C9880,1
C8452,2
C8454,1
C7012,12
C9650,9
C1088,2
C7261,4
C7830,8
C6996,9
C7280,5
C4020,2
C4021,1
C4136,2
C4102,1
C7250,1
C7371,3
C7582,11
C5625,3
C8300,13
C5725,4
C4906,4
C7510,5
C3421,1
C3422,6
C3420,2
C7714,13
C1756,2
C2493,1
C2401,2
C7722,1
C7331,3
C4903,3
C4908,3
C4850,6
C2599,1
C2385,2
C3211,4
C3285,6
C3286,8
C3220,4
C7253,2
C7777,2
C7036,4
C8371,2
C8340,7
C8390,2
C7741,4
C5603,1
C4518,4
C4517,7
C4513,3
C4512,3
C4516,4
C4515,4
C4520,5
C4521,1
C3111,1
C2910,1
C7584,3
C8321,4
C8322,3
C8323,3
C8324,6
C8325,4
C8326,7
C8327,5
C1011,1
C5250,39
C5552,3
C9823,1
C9848,1
C9849,1
C7526,6
C7525,4
C6998,4
C1047,1
C7782,19
C5020,13
C1084,2
C7260,11
C7213,1
C7500,30
C5006,2
C4690,9
C3891,3
C7516,5
C7111,38
C7712,9
C7723,2
C7556,1
C2411,2
C7310,3
C7620,10
C7624,8
C8005,4
C7811,2
C7601,11
C6952,18
C7554,1
C8188,1
C8187,4
C8186,10
C7912,2
C7119,1
C7901,6
C9712,8
C1724,2
C7602,8
C8310,2
C1214,7
C1212,8
C5003,3
C8315,3
C9532,12
C9533,1
C8360,5
C8361,1
C7460,1
C2731,1
C7529,2
C8358,3
C5009,2
C7425,32
C7766,3
C7767,2
C7768,8
C7769,2
C7770,9
C4820,2
C7026,9
C7184,3
C9511,1
C6212,3
C6217,5
C5580,3
C5429,1
C7900,8
C6995,9
C7010,3
C9327,3
C9323,4
C7324,9
C7140,37
C4514,2
C8319,4
C1001,6
C4002,2
C3927,1
C1905,3
C5021,17
C7555,6
C7616,3
C7615,8
C7055,3
C7045,4
C5401,2
C4807,2
C7569,1
C7517,3
C7562,2
C7560,4
C7006,4
C9841,1
C4260,3
C4501,1
C4350,1
C3232,1
C3233,1
C7376,5
C7242,2
C7283,1
C1801,3
C7210,4
C7211,1
C7212,1
C5856,2
C7373,3
C8351,2
C2953,2
C2950,2
C8030,6
C8491,1
C8555,1
C4531,1
C5127,1
C7136,5
C4836,10
C5830,2
C2940,2
C7592,7
C9715,4
C6885,1
C7541,7
C5701,5
C1804,1
C7105,27
C1600,1
C4841,1
C7580,3
C8145,2
C8150,3
C8151,3
C8158,2
C8146,1
C8147,1
C8148,1
C8149,1
C8152,2
C8153,1
C8154,1
C8155,1
C8156,1
C8157,2
C8021,1
C8022,1
C8023,1
C8024,1
C8025,1
C8026,2
C8027,1
C8028,2
C8029,1
C8031,1
C8032,1
C8033,1
C8034,1
C8035,2
C8055,2
C8056,1
C8057,1
C8058,1
C8059,1
C8061,1
C8062,1
C8063,1
C8064,1
C8065,1
C8066,1
C8067,1
C8068,1
C8069,3
C8070,4
C3701,1
C3730,1
C2450,2
C1642,1
C1723,1
C6910,8
C7760,4
C8303,2
C5813,2
C2952,6
C6604,1
C9364,1
C7102,15
C7141,1
C7143,1
