chips,Count
U3900,325
U9600,222
U7600,421
U7000,2838
U4600,94
U9500,50
U6100,1000
ISL6259,830
U1900,714
LP8550,309
U7400,651
U9000,249
U7501,695
U5400,65
U1845,20
U9740,2
U7940,66
U1950,1150
U7200,660
U8300,153
U5110,466
U5805,64
U6990,359
U8080,135
U5410,55
U7900,43
TPS22924,10
U8330,81
U7701,524
U3210,90
U8900,551
U7800,763
U4801,78
U6201,121
U1800,184
U7100,1721
U2800,406
U9701,246
U7201,290
U1930,112
U9410,90
U3200,578
U3100,698
ISL6258,55
U1100,85
U6903,247
U7310,149
ISL9240,57
U7370,38
U8005S,2
U7090,341
U9850,188
CD3215,1175
U4200,67
U7650,267
U9080,143
CD3217,414
U5450,40
U1200,35
U3710,71
U7270,23
U2890,216
U3000,20
TPS62180,48
U8100,236
U9580,89
ISL9239,67
U9020,6
U8130,80
U9400,36
ISL88738,5
U9200,14
U7210,132
U7750,70
U4650,67
U6901,204
U4900,77
U5755,9
U5750,62
U5701,203
U6500,30
U6700,9
U6880,9
U7700,362
U6915,48
U5000,119
U5001,12
ISL6236,2
U6900,323
U2600,144
U5511,74
U7840,52
U7971,3
U5010,184
TPS51125,72
U3890,51
U2652,2
U7320,57
U7960,28
U7300,100
U7801,19
U7941,99
U7870,44
U7500,40
U8160,15
U8170,27
U9100,58
U7190,17
U8180,71
U5570,24
U0500,57
U3700,23
U7740,22
U8000,125
U7330,34
U4450,6
U4800,26
U6200,90
U4100,8
U3600,12
U5535,11
U5515,6
U6410,24
U5850,45
U9700,10
U5870,39
U5620,38
TPS51980,50
U4690,3
U7710,28
U2305,1
U1400,27
U4510,40
LP8548,5
U4820,46
LP7701,1
TPS51121,1
U9480,8
ISL95826,1
U6650,2
ISL95870,4
U3401,4
U3402,6
U2650,30
U7901,1
U5700,60
U5520,14
TPS51116,1
U3540,45
LP8850,7
U7085,1
U7080,2
U9420,3
U8400,223
U4020,1
U2700,64
U8010,25
U9270,13
U6101,106
U8040,9
TPS51916,3
U9800,70
U4290,1
U2592,1
U3711,20
ISL95286,1
U8001,3
U8020,79
U7091,2
U7770,17
U7760,34
U7780,7
U5860,14
U7541,5
U8350,12
U7542,2
U4850,54
U4830,27
U1252B,1
LP8545,14
ISL6285,1
U8005,66
LP5849,1
U3500,60
U4660,1
U2760,9
ISL95530,9
U4780,9
U3301,1
U3510,31
U1000,10
U7001,25
U8310,16
U3560,10
U5810,45
U8050,27
U5550,38
U5500,10
U8070,23
U2660,7
U2771,2
U2780,1
U6000,1
TPS61187,1
U8030,93
U5420,16
U5421,1
U7950,43
U7930,8
U6701,2
U5430,8
U5800,84
U5703,7
U2940,4
U4910,20
U5640,1
U7970,13
U6400,67
U4810,77
U5510,32
U9150,13
U4000,15
U9300,105
U3310,14
U9330,7
U7820,21
U6100S,1
U6210,9
ISL6295,6
U8450,15
ISL6367,1
U5402,1
U3090,14
U1650,2
U3990,5
U9320,3
U9370,1
U3740,108
LP5880,1
U4500,8
U2801,4
U2594,3
U1512B,1
U3220,31
U7720,12
ISL6255,2
ISL6263,8
U5523,4
U5601,10
U5050,2
U9610,5
U8060,9
U5560,7
U2850,2
U7980,2
U2071,21
U9650,7
U4430,2
U6440,6
U5830,1
U5730,1
U8200,45
U4700,95
U6630,9
U8102,1
U7060,1
U5823,4
U5580,7
U8700,19
U6610,12
U6620,11
U9550,1
U5540,4
U4520,12
U3280,1
U5490,3
U6110,2
U4350,1
U3300,2
U3311,2
U2150,3
ISL9504,3
U8339,1
U9390,3
U9220,1
U8500,87
U8550,5
U1420,5
U1700,1
U9950,1
TPS51580,1
U5660,4
U2990,1
U3400,3
U7730,2
U5930,1
U3550,9
ISL6250,2
U5100,3
U7890,34
U9210,4
U7510,1
U5670,3
U5165,8
U3320,3
U5710,4
ISL5269,1
U5440,16
U8821,1
U8800,16
U7220,56
U7410,62
U7420,39
U7430,17
U6091,2
ISL62383,6
ISL95828,7
U7659,2
ISL95905,2
U2030,3
U6300,27
U9310,10
U3810,6
U2670,1
U7860,16
U7865,5
U6010,7
U7000S,1
U8340,18
U7560,5
U5310,7
U6430,1
U6420,3
U8601,2
U7749,1
U5101,2
U3714,1
U6030,1
U4405,1
U4404,8
U5388,11
U5255,34
U8902,2
U8990,2
U8801,1
U3470,2
U5360,2
U7790,5
U5380,2
U4202,1
U3815,2
U3816,1
U3030,1
U2750,27
U8501,18
U7939,1
U9750,5
U5480,6
U7841,1
U2841,1
U8640,20
U8230,6
U8220,22
U8210,27
U8250,20
U8240,6
U8270,1
U8206,1
U5590,1
U5600,31
U3770,6
U3780,3
U3450,2
U3440,6
CD3125,3
U5501,1
U5903,1
U5690,1
ISL6958,1
U6950,7
U2110,1
U8600,77
U2500,7
U5274,1
U8510,47
U8010S,1
U7490,8
U8440,13
U8420,4
U2080,6
U4582,1
ISL6925,1
U1970,3
U5460,1
U4402,5
ISL6269,1
U3730,11
U8080S,1
U8070S,1
U8650,10
U7660,6
U8205,17
U9120,2
U5413,3
ISL8900,1
U6940,29
U9640,1
U6490,1
U6941,2
U8200S,1
U2060,1
U6970,7
U4406,5
U8710,3
U7101,3
ISL5259,2
U7110,3
U4400,9
U6960,29
ISL9249,3
U4440,1
U5530,1
U4770,88
CD3210,1
U8470,1
U6911,2
U5780,1
U5820,5
U5725,1
U5256,7
U8192,3
U8190,4
U1910,1
U6450,4
U4802,37
ISL6529,3
U8295,11
U8110,25
U5250,2
U2560,1
ISL88042,1
U5019,1
U8520,1
U6690,2
U4760,1
U8900S,1
U2880,1
U1950S,1
U6360,5
U1860,1
CD3515,1
U9720,2
U3750,7
U3840,2
U3880,1
U3015,6
U3020,4
U8605,6
U4531,1
U8213,6
U8950,2
TPS22920,1
U7230,16
U5104,5
U7610,2
U7880,4
U5226,1
U4920,5
U4490,1
U4470,2
U1905,1
U8490,4
U5111,2
U2680,2
U2810,1
U9801,17
U3895,1
U6930,1
U9850S,1
ISL6364,1
U4408,1
U5225,2
U4580,1
U5802,1
U6905,1
U6920,3
CD3127,4
U1600,1
U8090,2
U0830,1
U8290,4
U8207,3
U1959,1
U3781,3
U4803,1
U5210,4
U4901,9
U3690,2
U2300,9
U2100,1
U7499,1
U1980,1
U7010,3
U3950,1
U8472,11
U8595,4
U8570,2
U3906,4
U5610,1
U8930,1
U6550,8
U2701,2
U2980,4
U5300,5
U7850,1
U3800,2
U4002,1
LP8561,1
U5650,5
U3901,1
U5260,1
ISL6372,3
U8401,4
U9290,1
