NAME,DESCRIPTION_x,DESCRIPTION_y
820-00165,Board part number 820-00165 fits a MacBook Air computer from year Early 2015 whose model number is A1466 with a screen size of 13 inches,
820-3115,Board part number 820-3115 fits a MacBook Pro Unibody computer from year Mid 2012 whose model number is A1278 with a screen size of 13 inches,
820-4924,Board part number 820-4924 fits a MacBook Pro Retina computer from year Early 2015 whose model number is A1502 with a screen size of 13 inches,
820-3437,Board part number 820-3437 fits a MacBook Air computer from year Mid 2013 whose model number is A1466 with a screen size of 13 inches,
820-00840,Board part number 820-00840 fits a MacBook Pro Retina computer from year Mid 2017 2xTBT3 No TB whose model number is A1708 with a screen size of 13 inches,
820-2936,Board part number 820-2936 fits a MacBook Pro Unibody computer from year Early 2011 whose model number is A1278 with a screen size of 13 inches,
820-3476,Board part number 820-3476 fits a MacBook Pro Retina computer from year Mid 2014 whose model number is A1502 with a screen size of 13 inches,
820-2915,Board part number 820-2915 fits a MacBook Pro Unibody computer from year Early 2011 whose model number is A1286 with a screen size of 15 inches,
820-3332,Board part number 820-3332 fits a MacBook Pro Retina computer from year Mid 2012 whose model number is A1398 with a screen size of 15 inches,
820-00239,Board part number 820-00239 fits a MacBook Pro Retina computer from year 2016 4xTBT3 TB whose model number is A1706 with a screen size of 13 inches,
820-2850,Board part number 820-2850 fits a MacBook Pro Unibody computer from year Mid 2010 whose model number is A1286 with a screen size of 15 inches,
820-00850,Board part number 820-00850 fits a MacBook Pro Retina computer from year 2018 4xTBT3 TB whose model number is A1989 with a screen size of 13 inches,
820-01700,Board part number 820-01700 fits a MacBook Pro Retina computer from year 2019 whose model number is A2141 with a screen size of 16 inches,
820-00281,Board part number 820-00281 fits a MacBook Pro Retina computer from year Late 2016 whose model number is A1707 with a screen size of 15 inches,
820-00928,Board part number 820-00928 fits a MacBook Pro Retina computer from year Mid 2017 whose model number is A1707 with a screen size of 15 inches,
820-3662,Board part number 820-3662 fits a MacBook Pro Retina computer from year Late 2013 whose model number is A1398 with a screen size of 15 inches,
820-01521,Board part number 820-01521 fits a MacBook Air computer from year Late 2018 whose model number is A1932 with a screen size of 13 inches,
820-2879,Board part number 820-2879 fits a MacBook Pro Unibody computer from year Mid 2010 whose model number is A1278 with a screen size of 13 inches,
820-00923,Board part number 820-00923 fits a MacBook Pro Retina computer from year Mid 2017 4xTBT3 TB whose model number is A1706 with a screen size of 13 inches,
820-3330,Board part number 820-3330 fits a MacBook Pro Unibody computer from year Mid 2012 whose model number is A1286 with a screen size of 15 inches,
820-3787,Board part number 820-3787 fits a MacBook Pro Retina computer from year Late 2013 whose model number is A1398 with a screen size of 15 inches,
820-00138,Board part number 820-00138 fits a MacBook Pro Retina computer from year Mid 2015 whose model number is A1398 with a screen size of 15 inches,
820-01041,Board part number 820-01041 fits a MacBook Pro Retina computer from year Mid 2018 whose model number is A1990 with a screen size of 15 inches,
820-01598,Board part number 820-01598 fits a MacBook Pro Retina computer from year 2019 whose model number is A2159 with a screen size of 13 inches,
820-3435,Board part number 820-3435 fits a MacBook Air computer from year Mid 2013 whose model number is A1465 with a screen size of 11 inches,
820-3209,Board part number 820-3209 fits a MacBook Air computer from year Mid 2012 whose model number is A1466 with a screen size of 13 inches,
820-3462,Board part number 820-3462 fits a MacBook Pro Retina computer from year Late 2012 whose model number is A1425 with a screen size of 13 inches,
820-01958,Board part number 820-01958 fits a MacBook Air computer from year Early 2020 whose model number is A2179 with a screen size of 13 inches,
820-00164,Board part number 820-00164 fits a MacBook Air computer from year Early 2015 whose model number is A1465 with a screen size of 11 inches,
820-01987,Board part number 820-01987 fits a MacBook Pro Retina computer from year 2020 2xTBT3 TB whose model number is A2289 with a screen size of 13 inches,
820-3536,Board part number 820-3536 fits a MacBook Pro Retina computer from year Late 2013 whose model number is A1502 with a screen size of 13 inches,
820-2914,Board part number 820-2914 fits a MacBook Pro Unibody computer from year Early 2011 whose model number is A1297 with a screen size of 17 inches,
820-00045,Board part number 820-00045 fits a Macbook  computer from year 2015 whose model number is A1534 with a screen size of 12 inches,
820-00875,Board part number 820-00875 fits a MacBook Pro Retina computer from year late 2016 whose model number is A1708 with a screen size of 13 inches,
820-02020,Board part number 820-02020 fits a MacBook Pro Retina computer from year Late 2020 M1 whose model number is A2338 with a screen size of 13 inches,
820-2530,Board part number 820-2530 fits a MacBook Pro Unibody computer from year Mid 2009 whose model number is A1278 with a screen size of 13 inches,
820-00244,Board part number 820-00244 fits a Macbook  computer from year 2016 whose model number is A1534 with a screen size of 12 inches,
820-3023,Board part number 820-3023 fits a MacBook Air computer from year Mid 2011 whose model number is A1369 with a screen size of 13 inches,
820-00426,Board part number 820-00426 fits a MacBook Pro Retina computer from year Mid 2015 whose model number is A1398 with a screen size of 15 inches,
820-00163,Board part number 820-00163 fits a MacBook Pro Retina computer from year Mid 2015 whose model number is A1398 with a screen size of 15 inches,
820-3208,Board part number 820-3208 fits a MacBook Air computer from year Mid 2012 whose model number is A1465 with a screen size of 11 inches,
