Board number,Description
820-00164,"Board part number 820-00164 fits a MacBook Air computer from year Early 2015 whose model number is A1465 with a screen size of 11""."
820-00165,"Board part number 820-00165 fits a MacBook Air computer from year Early 2015 whose model number is A1466 with a screen size of 13""."
820-01521,"Board part number 820-01521 fits a MacBook Air computer from year Late 2018 whose model number is A1932 with a screen size of 13""."
820-01958,"Board part number 820-01958 fits a MacBook Air computer from year Early 2020 whose model number is A2179 with a screen size of 13""."
820-02016,"Board part number 820-02016 fits a MacBook Air computer from year Late 2020 M1 whose model number is A2337 with a screen size of 13""."
820-02536,"Board part number 820-02536 fits a MacBook Air computer from year Mid 2022 M2 whose model number is A2681 with a screen size of 13""."
820-2375,"Board part number 820-2375 fits a MacBook Air computer from year Mid 2009 whose model number is A1304 with a screen size of 13""."
820-2796,"Board part number 820-2796 fits a MacBook Air computer from year Late 2010 whose model number is A1370 with a screen size of 11""."
820-2838,"Board part number 820-2838 fits a MacBook Air computer from year Late 2010 whose model number is A1369 with a screen size of 13""."
820-3023,"Board part number 820-3023 fits a MacBook Air computer from year Mid 2011 whose model number is A1369 with a screen size of 13""."
820-3024,"Board part number 820-3024 fits a MacBook Air computer from year Mid 2011 whose model number is A1370 with a screen size of 11""."
820-3208,"Board part number 820-3208 fits a MacBook Air computer from year Mid 2012 whose model number is A1465 with a screen size of 11""."
820-3209,"Board part number 820-3209 fits a MacBook Air computer from year Mid 2012 whose model number is A1466 with a screen size of 13""."
820-3435,"Board part number 820-3435 fits a MacBook Air computer from year Mid 2013 whose model number is A1465 with a screen size of 11""."
820-3437,"Board part number 820-3437 fits a MacBook Air computer from year Mid 2013 whose model number is A1466 with a screen size of 13""."
820-00138,"Board part number 820-00138 fits a MacBook Pro Retina computer from year Mid 2015 whose model number is A1398 with a screen size of 15""."
820-00163,"Board part number 820-00163 fits a MacBook Pro Retina computer from year Mid 2015 whose model number is A1398 with a screen size of 15""."
820-00426,"Board part number 820-00426 fits a MacBook Pro Retina computer from year Mid 2015 whose model number is A1398 with a screen size of 15""."
820-00239,"Board part number 820-00239 fits a MacBook Pro Retina computer from year 2016 4xTBT3 TB whose model number is A1706 with a screen size of 13""."
820-00281,"Board part number 820-00281 fits a MacBook Pro Retina computer from year Late 2016 whose model number is A1707 with a screen size of 15""."
820-00840,"Board part number 820-00840 fits a MacBook Pro Retina computer from year Mid 2017 2xTBT3 No TB whose model number is A1708 with a screen size of 13""."
820-00850,"Board part number 820-00850 fits a MacBook Pro Retina computer from year 2018 4xTBT3 TB whose model number is A1989 with a screen size of 13""."
820-00875,"Board part number 820-00875 fits a MacBook Pro Retina computer from year 2016 2xTBT3 No TB whose model number is A1708 with a screen size of 13""."
820-00923,"Board part number 820-00923 fits a MacBook Pro Retina computer from year Mid 2017 4xTBT3 TB whose model number is A1706 with a screen size of 13""."
