resistors,Count
R7052,161
R9990,6
R7122,73
R7416,9
R5100,121
R7005,354
R7020,529
R7551,45
R5400,43
R7105,95
R6905,121
R7075,34
R1931,34
R6920,58
R8151,30
R7715,58
R7731,77
R5193,22
R5116,41
R7202,29
R6990,83
R7900,151
R9703,8
R1920,11
R1921,12
R7859,5
R7002,5
R9014,7
R5501,10
R5503,8
R5504,6
R7701,28
R7702,25
R2627,2
R7050,172
R9715,46
R9731,56
R5000,35
R7802,7
R7051,260
R6805,56
R9704,103
R9741,6
R7021,241
R7022,113
R7010,84
R7011,51
R2179,3
R7403,77
R7402,307
R7974,20
R5281,108
R5280,156
R5170,26
R5481,19
R6860,1
R1370,1
R1366,1
R7556,1
R7555,4
R5710,42
R7012,106
R7968,2
R7966,6
R7965,14
R7964,10
R7963,24
R2822,2
R2801,2
R3888,1
R1300,43
R1301,32
R1302,29
R1303,28
R1304,1
R8165,25
R9589,3
R9585,2
R9571,2
R7120,120
R7086,59
R6995,54
R6996,10
R7101,36
R7195,2
R7196,2
R7121,143
R8162,8
R5530,8
R7700,13
R8319,10
R8998,4
R8999,3
R7160,4
R7123,2
R1101,1
R7115,7
R7118,1
R5290,1
R5291,1
R7502,2
R1800,64
R1803,29
R4596,1
R1981,4
R9788,38
R9789,44
R6961,25
R9008,22
R9009,7
R1984,3
R7812,6
R7810,5
R1801,26
R1802,33
R7913,12
R7550,15
R7095,58
R7096,27
R7100,100
R5087,39
R9808,9
R9809,9
R9755,3
R9753,12
R9757,9
R9714,7
R9717,12
R9718,5
R9719,4
R9720,2
R9721,5
R9722,6
R5260,36
R5261,28
R5511,9
R5510,14
R7400,2
R9500,5
R8611,4
R8612,9
R8613,11
R7743,4
R7744,7
R5127,32
R7185,72
R4850,20
R4851,4
R4852,9
R4853,6
R5233,1
R7151,93
R7152,60
R7252,14
R7251,6
R5110,14
R5120,8
R1950,26
R1962,46
R5077,3
R5078,1
R5079,2
R5410,38
R3880,5
R7273,15
R5535,1
R5015,61
R7001,28
R7150,66
R6929,31
R7520,19
R7039,1
R8798,14
R6110,33
R6120,29
R5450,24
R8178,43
R5665,8
R5014,27
R6101,30
R6116,22
R2810,6
R5071,40
R5301,15
R5303,9
R7941,21
R5122,3
R5112,10
R7846,4
R7912,3
R5316,3
R7880,3
R7881,1
R6061,25
R6895,6
R8136,1
R8137,3
R5403,3
R7811,11
R3210,5
R7732,14
R5177,17
R5178,9
R1410,44
R7554,3
R7085,94
R5117,9
R6911,18
R5072,6
R5082,1
R7140,5
R6103,4
R6130,25
R5704,21
R3700,4
R3791,1
R8141,28
R7116,10
R7112,9
R7142,2
R7110,68
