"PP3V42_G3H","1704","This is a power rail that powers the SMC and the onewire circuit on many Macbooks. The onewire circuit is what allows the SMC to communicate with the charger in order to activate the charger and allow the charger to have a green or orange light. If you are working on a Macbook logic board that has PP3V42_G3H as one of its power rails, this will be one of the first rails that must turn on for the rest of the device to function.",""
"PM_SLP_S3","55","",""
"PPBUS_GH3","7","",""
"PPBUS_G3H","8622","",""
"PP5V_S3","813","",""
"PPDCIN_G3H","782","",""
"CHGR_UGATE","50","",""
"ALL_SYS_PWRGD","1394","ALL_SYS_PWRGD is present when PP1V8_S3, PP5V_S3, PP1V2_S3, PP1V05_S0, PP5V_S0, PP3V3_S0, & PP1V5_S0 are present and working. If any of these rails is not working, ALL_SYS_PWRGD will be pulled down and the machine will not turn on. ",""
"PM_SLP_S5_L","696","",""
"PM_SLP_S3_L","518","",""
"PPBUS_G3HOT","27","",""
"PPVCORE_S0_GFX_REG","22","",""
"PP5V_S4","558","",""
"PP3V3_S5","2152","",""
"LCD_BKLT_EN","239","",""
"PPVCORE_S0_CPU","325","",""
"PM_SLP_S4_L","1888","PM_SLP_S4_L is a signal that, when 3.3v, turns on power rails that will wake the system from an S4 state, and is necessary for you to get common rails such as PP5V_S4 and PP5V_S3 to work. On many systems that have no power due to random liquid damage, it will be traced back to missing PM_SLP_S4_L. This signal is a part of the power management system of the MacBook.  The \"PM\" prefix typically stands for \"Power Management,\" and the \"SLP\" is for \"Sleep.\" The \"S4\" denotes the specific sleep state, which is Suspend to Disk, and the \"_L\" suffix indicates that this is an active low signal. When PM_SLP_S4_L is active (low), it indicates that the MacBook is in or should transition to the S4 power state, where the system context is saved to disk, and most of the system is powered down except for what's necessary to maintain this state and wake up again.  This control is crucial for power conservation and managing the different sleep states of the MacBook, ensuring that power is supplied to only essential components during these low-power states​. ",""
"LCDBKLT_EN_L","75","",""
"PP5V_S0","938","",""
"PPVCORE_S0_CPU_REG","40","",""
"PPVCC_S0_CPU","630","",""
"SMC_PM_G2_EN","770","",""
"PM_SL_S4_L","10","",""
"PP5V_S4RS3","478","",""
"PPVBAT_G3H_CONN","99","",""
"PPVTT_S0_DDR_LDO","16","",""
"CPU_VCORE","89","",""
"AXG_VCORE","6","",""
"PP3V3_S3","392","",""
